Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
30633,107529,Female,Loyal Customer,47,Business travel,Business,1521,3,3,3,3,5,4,5,4,4,4,4,4,4,3,0,0.0,satisfied
98857,129312,Male,disloyal Customer,35,Business travel,Business,2586,3,3,3,4,3,3,5,3,5,5,5,5,4,3,0,0.0,neutral or dissatisfied
80498,42352,Female,Loyal Customer,66,Personal Travel,Eco,550,2,4,2,2,5,4,5,4,4,2,4,3,4,5,78,82.0,neutral or dissatisfied
73981,33349,Male,disloyal Customer,26,Business travel,Eco,1269,5,4,4,1,3,5,3,3,5,1,5,3,4,3,0,0.0,satisfied
70633,92993,Male,Loyal Customer,48,Personal Travel,Eco,738,1,5,0,2,4,0,4,4,5,2,4,3,5,4,64,49.0,neutral or dissatisfied
65034,58318,Female,Loyal Customer,46,Business travel,Eco,1739,1,3,3,3,4,3,2,1,1,1,1,1,1,3,36,4.0,neutral or dissatisfied
16266,129493,Female,Loyal Customer,14,Personal Travel,Eco Plus,2704,1,5,1,3,5,1,5,5,4,3,3,5,4,5,0,0.0,neutral or dissatisfied
75262,68191,Female,disloyal Customer,22,Business travel,Eco Plus,597,2,4,2,3,3,2,3,3,4,2,3,3,3,3,12,8.0,neutral or dissatisfied
58866,111214,Male,disloyal Customer,42,Business travel,Eco,1419,3,3,3,3,1,3,1,1,4,5,2,4,2,1,0,0.0,neutral or dissatisfied
5320,20546,Male,Loyal Customer,29,Business travel,Business,3065,1,1,1,1,5,5,5,5,4,3,2,4,1,5,0,7.0,satisfied
72937,9242,Female,Loyal Customer,35,Business travel,Business,1629,3,5,5,5,4,4,4,2,2,2,3,2,2,1,28,22.0,neutral or dissatisfied
93033,37039,Male,Loyal Customer,46,Business travel,Eco,994,2,1,1,1,3,2,3,3,1,5,3,2,3,3,0,0.0,neutral or dissatisfied
85064,20168,Male,Loyal Customer,26,Business travel,Eco,403,0,5,0,5,4,0,4,4,4,4,2,3,2,4,88,69.0,satisfied
